CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,SCORE,GRADE
40363565,HOT BAGELS,QUEENS,7905,METROPOLITAN AVENUE,11379,7183268510,Bagels/Pretzels,9.0,A
40363590,SNACK TIME GRILL,QUEENS,8769,LEFFERTS BOULEVARD,11418,7188057835,American ,11.0,A
40363630,LORENZO & MARIA'S,MANHATTAN,1418      ,THIRD AVENUE                                      ,10028,2127941080,Continental,13.0,A
40363644,DOMINO'S ,MANHATTAN,464,3 AVENUE,10016,2125450200,Pizza,2.0,A
40363685,BERKELEY,MANHATTAN,437       ,MADISON AVENUE                                    ,10022,2128328121,American ,9.0,A
40363744,SONNY'S HEROS,BROOKLYN,1031      ,EAST   92 STREET                                  ,11236,7184859810,American ,0.0,A
40363920,NEW GOLDEN BILLION,BROOKLYN,976 ,RUTLAND ROAD,11212,7187357707,Chinese,8.0,A
40363945,DOMINO'S,MANHATTAN,148       ,WEST   72 STREET                                  ,10023,2125010200,Pizza,2.0,A
40364149,AUNTIE ANNE'S PRETZELS,MANHATTAN,0,34 STREET,10001,2122396882,Bagels/Pretzels,13.0,A
40364220,KOSHER BAGEL HOLE,BROOKLYN,1423      ,AVENUE J                                                                                            ,11230,7182584150,Jewish/Kosher,13.0,A
40364262,TERMINAL CAFE/YANKEE CLIPPER,QUEENS,0,GUARDIA AIRPORT PARKING,11371,9172998133,American ,4.0,A
40364286,PLAZA BAGELS & DELI,STATEN ISLAND,73        ,NEW DORP PLAZA                                    ,10306,7183513906,Delicatessen,13.0,A
40364299,B & M HOT BAGEL & GROCERY,STATEN ISLAND,203       ,GIFFORDS LANE                                     ,10308,7189668445,Delicatessen,8.0,A
40364305,PHILADELHIA GRILLE EXPRESS,BROOKLYN,10004     ,4 AVENUE                                          ,11209,7182380747,Italian,9.0,A
40364335,PETER LUGER STEAKHOUSE,BROOKLYN,178 ,BROADWAY,11211,7183877400,Steak,11.0,A
40364347,METROPOLITAN CLUB,MANHATTAN,1,EAST   60 STREET,10022,2128387400,American ,2.0,A
40364362,21 CLUB,MANHATTAN,21,WEST   52 STREET,10019,2125827200,American ,6.0,A
40364363,MANHEM CLUB,BRONX,658,CLARENCE AVE,10465,7188228965,American ,11.0,A
40364373,ISLE OF CAPRI RESTURANT,MANHATTAN,1028      ,3 AVENUE                                          ,10065,2127581902,Italian,5.0,A
40364389,OLD TOWN BAR & RESTAURANT,MANHATTAN,45,EAST   18 STREET,10003,2125296732,American ,13.0,A
40364404,POLISH NATIONAL HOME,BROOKLYN,261       ,DRIGGS AVENUE                                     ,11222,7183875252,Polish,2.0,A
40364439,SEVILLA RESTAURANT,MANHATTAN,62,CHARLES STREET,10014,2129293189,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",11.0,A
40364443,CRIMINAL COURT BLDG CAFETERIA,MANHATTAN,100,CENTRE STREET,10013,2129621037,American ,9.0,A
40364467,NYAC MAIN DINING ROOM,MANHATTAN,180,CENTRAL PARK SOUTH,10019,2127677000,American ,13.0,A
40364518,7B BAR,MANHATTAN,108       ,AVENUE B                                                                                            ,10009,2126776742,American ,11.0,A
40364529,BEN-BEST DELI & RESTAURANT,QUEENS,9640,QUEENS BOULEVARD,11374,7188971700,Jewish/Kosher,11.0,A
40364531,CAFE ATELIER (ART STUDENTS LEAGUE),MANHATTAN,215       ,WEST   57 STREET                                  ,10019,2122474510,American ,5.0,A
40364572,DONOHUE'S STEAK HOUSE,MANHATTAN,845       ,LEXINGTON AVENUE                                  ,10065,2127440938,Steak,9.0,A
40364581,JUNIOR'S,BROOKLYN,386       ,FLATBUSH AVENUE EXTENSION                         ,11201,7188525257,American ,10.0,A
40364668,MARCHIS RESTAURANT,MANHATTAN,251,EAST   31 STREET,10016,2126792494,Italian,10.0,A
40364681,TOWNE CAFE,BROOKLYN,2602      ,EAST   15 STREET                                  ,11235,7186469827,American ,12.0,A
40364691,DINING ROOM,MANHATTAN,.1-A,EAST 77 ST,10021,2127341468,Continental,13.0,A
40364744,NEW PARK PIZZERIA & RESTAURANT,QUEENS,156-71    ,CROSSBAY BOULEVARD                                ,11414,7186413082,Pizza/Italian,10.0,A
40364858,DOUGLASTON CLUB,QUEENS,600,WEST DRIVE,11363,7182293900,American ,7.0,A
40364889,MELODY LANES,BROOKLYN,461,37 STREET,11232,7188322695,American ,13.0,A
40364920,RIZZO'S FINE PIZZA,QUEENS,3013,STEINWAY STREET,11103,7187219862,Pizza,11.0,A
40364956,THE NEW STARLING ATHLETIC CLUB OF THE BRONX,BRONX,2222,HAVILAND AVENUE,10462,7188229004,American ,7.0,A
40364958,WHITE HORSE TAVERN,MANHATTAN,567,HUDSON STREET,10014,2129893956,American ,4.0,A
40365013,CRYSTAL ROOM,STATEN ISLAND,67        ,OLYMPIA BOULEVARD                                 ,10305,7184478926,Italian,2.0,A
40365022,LABETTI'S POST # 2159,STATEN ISLAND,390       ,HYLAN BOULEVARD                                   ,10305,7184429312,American ,12.0,A
40365043,SHELL LANES,BROOKLYN,1,BOUCK COURT,11223,7183366700,American ,10.0,A
40365075,MCSORLEY'S OLD ALE HOUSE,MANHATTAN,15,EAST    7 STREET,10003,2122542570,Irish,2.0,A
40365098,FORLINIS RESTAURANT,MANHATTAN,93,BAXTER STREET,10013,2123496779,Italian,13.0,A
40365120,SOUTH SHORE SWIMMING CLUB,STATEN ISLAND,6736      ,HYLAN BOULEVARD                                   ,10309,7182274285,American ,10.0,A
40365166,CORNER BISTRO,MANHATTAN,331       ,WEST    4 STREET                                  ,10014,2122429502,American ,13.0,A
40365226,NOSTRAND DONUT SHOP,BROOKLYN,1449,NOSTRAND AVENUE,11226,7188263008,Donuts,13.0,A
40365239,DORRIAN'S RED HAND RESTAURANT,MANHATTAN,1616,2 AVENUE,10028,2127726660,Irish,11.0,A
40365264,LA GRENOUILLE,MANHATTAN,3,EAST   52 STREET,10022,2127521495,French,13.0,A
40365280,COMO PIZZA,MANHATTAN,4035,BROADWAY,10032,2129287867,Pizza,6.0,A
40365293,ANGELO OF MULBERRY ST.,MANHATTAN,146,MULBERRY STREET,10013,2129661277,Italian,9.0,A
40365348,PANCHITO'S,MANHATTAN,103       ,MACDOUGAL STREET                                  ,10012,2124735239,Mexican,12.0,A
40365355,NEW CORNER,BROOKLYN,7201,8 AVENUE,11228,7188330800,Italian,10.0,A
40365361,THE PRINCETON CLUB,MANHATTAN,15        ,WEST   43 STREET                                  ,10036,2125961272,American ,10.0,A
40365387,ARTURO'S,MANHATTAN,106       ,WEST HOUSTON STREET                               ,10012,2126773820,Italian,12.0,A
40365414,LE PERIGORD,MANHATTAN,405       ,EAST   52 STREET                                  ,10022,2127556244,French,11.0,A
40365473,PALACE CAFE,BROOKLYN,206,NASSAU AVENUE,11222,7183839848,American ,5.0,A
40365499,YANKEE TAVERN,BRONX,72,EAST  161 STREET,10451,7182926130,American ,9.0,A
40365546,REBEN LUNCHEONETTE,BROOKLYN,229       ,HAVEMEYER STREET                                  ,11211,7183887696,American ,7.0,A
40365577,V & T RESTAURANT,MANHATTAN,1024,AMSTERDAM AVENUE,10025,2126668051,Italian,9.0,A
40365627,JAHN'S RESTAURANT,QUEENS,8104,37 AVENUE,11372,7186510700,American ,12.0,A
40365632,J&V FAMOUS PIZZA,BROOKLYN,6322,18 AVENUE,11204,7182322700,Pizza,13.0,A
40365644,JOE ALLEN RESTAURANT,MANHATTAN,326,WEST   46 STREET,10036,2125816464,American ,11.0,A
40365726,BARBETTA RESTAURANT,MANHATTAN,319321    ,323 W. 46TH ST.                                                                                     ,10036,2122469171,Italian,12.0,A
40365784,GARGIULO'S RESTAURANT,BROOKLYN,2911,WEST   15 STREET,11224,7182664891,Italian,7.0,A
40365789,PATSY'S ITALIAN RESTAURANT,MANHATTAN,236,WEST   56 STREET,10019,2122473491,Italian,13.0,A
40365841,PARKSIDE RESTAURANT,QUEENS,10701,CORONA AVENUE,11368,7182719871,Italian,12.0,A
40365844,LAVELLE'S ADMIRAL'S CLUB,QUEENS,4515,BROADWAY,11103,7187212764,American ,7.0,A
40365871,NEARY'S PUB,MANHATTAN,358,EAST   57 STREET,10022,2127511434,American ,10.0,A
40365882,NEW YORK PIZZA SUPREMA,MANHATTAN,413,8 AVENUE,10001,2125948939,Pizza,5.0,A
40365893,MCDWYERS PUB,BRONX,331,EAST  204 STREET,10467,3474270519,Irish,8.0,A
40365938,NANCY'S RESTAURANT,QUEENS,25541,JAMAICA AVENUE,11001,7183434616,American ,12.0,A
40365942,HOP KEE RESTAURANT,MANHATTAN,21,MOTT STREET,10013,2129648365,Chinese,8.0,A
40365968,NANCY WHISKEY PUB,MANHATTAN,1 ,LISPENARD ST,10013,2122269943,American ,11.0,A
40366002,MARGHERITA PIZZA,QUEENS,16304,JAMAICA AVENUE,11432,7186575780,Pizza,9.0,A
40366054,HEALY'S PUB,QUEENS,10807,ROCKAWAY BEACH BOULEVARD,11694,7184749600,American ,12.0,A
40366109,FIFTH AVENUE BINGO,BROOKLYN,416       ,5 AVENUE                                          ,11215,7187881691,American ,9.0,A
40366132,DENINO'S PIZZERIA TAVERN,STATEN ISLAND,524       ,PORT RICHMOND AVENUE                              ,10302,7184429401,Pizza/Italian,12.0,A
40366154,MICHAEL'S RESTAURANT,BROOKLYN,2929,AVENUE R,11229,7189987851,Italian,3.0,A
40366162,LENIHAN'S SALOON,QUEENS,11909,ATLANTIC AVENUE,11418,7188469770,American ,13.0,A
40366230,DON PEPPE,QUEENS,13558,LEFFERTS BOULEVARD,11420,7188457587,Italian,3.0,A
40366356,BLARNEY CASTLE,QUEENS,20224,ROCKAWAY POINT BOULEVARD,11697,7186344503,American ,13.0,A
40366361,THREE STAR RESTAURANT,BROOKLYN,1611,AVENUE U,11229,7183364195,American ,13.0,A
40366379,BLARNEY ROCK,MANHATTAN,137       ,WEST   33 STREET                                  ,10001,2129470825,Irish,7.0,A
40366381,DANGERFIELD'S NIGHT CLUB,MANHATTAN,1118,1 AVENUE,10065,2125931650,American ,12.0,A
40366425,NAOMI KOSHER PIZZA,QUEENS,6828,MAIN STREET,11367,7185208754,Jewish/Kosher,10.0,A
40366471,ROLL-N-ROASTER,BROOKLYN,2901,EMMONS AVENUE,11235,7187696000,American ,12.0,A
40366473,TIO PEPE,MANHATTAN,168,WEST    4 STREET,10014,2122429338,Seafood,7.0,A
40366487,BRENNAN & CARR,BROOKLYN,3432,NOSTRAND AVENUE,11229,7187691254,American ,9.0,A
40366497,THE PUNCH BOWL,BRONX,5820,BROADWAY,10463,7188847322,American ,5.0,A
40366543,JARDIN DE CHINA REST,QUEENS,3737,JUNCTION BOULEVARD,11368,7184763755,Chinese,12.0,A
40366549,IRISH COTTAGE,QUEENS,10807,72 AVENUE,11375,7185208530,Irish,12.0,A
40366574,BLARNEY STONE,MANHATTAN,11        ,TRINITY PLACE                                     ,10006,2122694988,Irish,9.0,A
40366643,THE RIVIERA CAFE,MANHATTAN,225,WEST    4 STREET,10014,2129293250,American ,3.0,A
40366652,FASCATI'S PIZZERIA,BROOKLYN,80,HENRY STREET,11201,7182371278,Pizza/Italian,9.0,A
40366716,SHUN LEE PALACE RESTAURANT,MANHATTAN,155       ,EAST   55 STREET                                  ,10022,2123718844,Chinese,13.0,A
40366742,TAMAQUA,BROOKLYN,84,EBONY COURT,11229,7186469212,American ,11.0,A
40366812,CARA MIA,QUEENS,22020,HILLSIDE AVENUE,11427,7187409118,Italian,11.0,A
40366833,IHOP,BRONX,4340,BOSTON ROAD,10475,7183256664,Pancakes/Waffles,3.0,A
40366857,MALONEY'S BAR,QUEENS,8769,SUTPHIN BOULEVARD,11435,3472334472,American ,11.0,A
40366879,LA FUSTA RESTAURANT,QUEENS,8032,BAXTER AVENUE,11373,7184298222,Spanish,8.0,A
40366928,RICHMOND COUNTY COUNTRY CLUB,STATEN ISLAND,135,FLAGG PLACE,10304,7183510600,American ,13.0,A
40366929,LITTLE BROWN JUG,QUEENS,12402,JAMAICA AVENUE,11418,7188469609,American ,7.0,A
40366961,MITCHELL'S RESTAURANT,BROOKLYN,617,VANDERBILT AVENUE,11238,7187893212,Soul Food,3.0,A
40366987,EL CHARRO ESPANOL,MANHATTAN,4         ,CHARLES STREET                                    ,10014,2122429547,Spanish,11.0,A
40366993,FINNEGAN'S WAKE,MANHATTAN,1361      ,FIRST AVENUE                                      ,10021,2127373664,American ,6.0,A
40367005,DA VINCI PIZZA,BROOKLYN,6514      ,18 AVENUE                                         ,11204,7182325855,Pizza/Italian,11.0,A
40367038,MEXICO LINDO RESTAURANT,MANHATTAN,459       ,2 AVENUE                                          ,10010,2126793665,Mexican,9.0,A
40367161,MARINA DELRAY,BRONX,2894,SCHURZ AVE,10465,7189316500,American ,9.0,A
40367164,NEW FLORIDIAN DINER,BROOKLYN,2301,FLATBUSH AVENUE,11234,7183771895,American ,9.0,A
40367179,TWINS PUB,MANHATTAN,421,9 AVENUE,10001,2126431688,Irish,11.0,A
40367183,NARROWS COFFEE SHOP,BROOKLYN,10001,4 AVENUE,11209,7188339281,American ,7.0,A
40367240,CHARLIES SPORTS BAR,QUEENS,4408,60TH ST. - STORE,11377,7184781903,American ,12.0,A
40367278,JACK'S PIZZA & PASTA,QUEENS,21249,26 AVENUE,11360,7184235484,Pizza/Italian,13.0,A
40367338,TAP ROOM,MANHATTAN,180,CENTRAL PARK SOUTH,10019,2127677085,American ,10.0,A
40367339,COCKTAIL ROOM (NYAC),MANHATTAN,180,CENTRAL PARK SOUTH,10019,2127677000,American ,9.0,A
40367365,FLAME RESTAURANT COFFEE HOUSE,MANHATTAN,893       ,9 AVENUE                                          ,10019,2127657962,American ,13.0,A
40367373,JACKSON HOLE,MANHATTAN,232       ,EAST   64 STREET                                  ,10065,2123717187,American ,12.0,A
40367407,JOHN'S RESTAURANT,MANHATTAN,302,EAST   12 STREET,10003,2124759531,Italian,4.0,A
40367442,BUDDY'S WONDER BAR,STATEN ISLAND,17        ,HARRISON AVENUE                                   ,10302,7184429768,American ,11.0,A
40367481,THE ASSEMBLY BAR,QUEENS,7302,COOPER AVENUE,11385,7188219359,American ,5.0,A
40367540,PICCOLA VENEZIA,QUEENS,4201,28 AVENUE,11103,7187218470,Italian,5.0,A
40367570,NI-NI'S CAFE,STATEN ISLAND,710       ,NEW DORP LANE                                     ,10306,7183519024,Italian,4.0,A
40367715,LA BONNE SOUPE BISTRO,MANHATTAN,48,WEST   55 STREET,10019,2125867650,French,12.0,A
40367728,MIMIS RESTAURANT & BAR,MANHATTAN,984,SECOND AVENUE,10022,2126884692,Italian,12.0,A
40367752,GRIFFIS FACULTY CLUB,MANHATTAN,521,EAST   68 STREET,10065,2127466100,American ,13.0,A
40367766,GRAY'S PAPAYA,MANHATTAN,2080,BROADWAY,10023,2127990243,Hotdogs,10.0,A
40367789,DANI PIZZA AND RESTAURANT,QUEENS,8128,LEFFERTS BOULEVARD,11415,7188462849,Pizza,11.0,A
40367790,MCDONALD'S,BROOKLYN,943       ,FLATBUSH AVENUE                                   ,11226,7186935353,Hamburgers,13.0,A
40367841,FIORELLOS,MANHATTAN,1900,BROADWAY,10023,2125955330,Italian,2.0,A
40367860,LB SPUMONI GARDENS,BROOKLYN,2725      ,86 STREET                                                                                           ,11223,7184491230,Pizza/Italian,11.0,A
40367870,AMORE PIZZERIA & RESTAURANT,QUEENS,3027,STRATTON STREET,11354,7184450579,Pizza/Italian,10.0,A
40367946,THE LARK'S NEST,BRONX,4280,KATONAH AVE,10470,3472028233,Irish,11.0,A
40368018,TERRACE CAFE,BRONX,2300      ,SOUTHERN BOULEVARD                                ,10460,7182205069,Café/Coffee/Tea,8.0,A
40368021,AFRICAN TERRACE,BRONX,2300      ,SOUTHERN BOULEVARD                                ,10460,7182207937,African,0.0,A
40368022,COOL ZONE,BRONX,2300      ,SOUTHERN BOULEVARD                                ,10460,7182205069,American ,9.0,A
40368025,BEAVER/NORTHERN POND,BRONX,2300      ,SOUTHERN BOULEVARD                                ,10460,7182207731,American ,2.0,A
40368026,AFRICAN MARKET (BABOON CAFE),BRONX,2300      ,SOUTHERN BOULEVARD                                ,10460,7187336858,American ,2.0,A
40368034,ROADHOUSE RESTAURANT,STATEN ISLAND,1402      ,CLOVE ROAD                                        ,10301,7184470033,Italian,5.0,A
40368065,FORD FOUNDATION CAFETERIA,MANHATTAN,320       ,EAST   43 STREET                                  ,10017,2125734648,American ,12.0,A
40368157,ELEPHANT & CASTLE,MANHATTAN,68,GREENWICH AVENUE,10011,2122431400,American ,3.0,A
40368207,MILL BASIN KOSHER DELI,BROOKLYN,5823,AVENUE T,11234,7182414910,Jewish/Kosher,7.0,A
40368223,OYSTER BAR,MANHATTAN,0,GRAND CENTRAL TERMINAL,10017,2124906650,Seafood,10.0,A
40368313,RED FLAME DINER,MANHATTAN,67        ,WEST   44 STREET                                  ,10036,2128693965,American ,13.0,A
40368318,MAGGIES PLACE,MANHATTAN,21,EAST   47 STREET,10017,2127535757,American ,11.0,A
40368338,BRADY'S BAR,MANHATTAN,1583      ,2 AVENUE                                          ,10028,2128616070,American ,12.0,A
40368346,DA SILVANO RESTAURANT,MANHATTAN,260,6 AVENUE,10014,2129822343,Italian,7.0,A
40368370,BENJAMIN,MANHATTAN,603,2 AVENUE,10016,2128890750,American ,13.0,A
40368374,JIMMY'S CORNER,MANHATTAN,140,WEST   44 STREET,10036,2122219510,American ,6.0,A
40368526,FROST RESTAURANT,BROOKLYN,193       ,FROST STREET                                      ,11211,7183893347,Italian,8.0,A
40368552,SAMMY'S STEAKHOUSE,MANHATTAN,155157,CHRISTIE ST.,10002,2126730330,Steak,12.0,A
40368555,IL CORTILE RESTAURANT,MANHATTAN,123,MULBERRY STREET,10013,2122266060,Italian,9.0,A
40368577,DENNY'S PUB,BROOKLYN,106,BEVERLY ROAD,11218,7184352156,American ,13.0,A
40368581,MARIES CRISIS CAFE,MANHATTAN,59,GROVE STREET,10014,2122439323,American ,9.0,A
40368632,NEW PARKWAY RESTAURANT,BROOKLYN,7504,13 AVENUE,11228,7187454371,American ,11.0,A
40368725,CAFE RIAZOR,MANHATTAN,245       ,WEST   16 STREET                                  ,10011,2127272132,Spanish,5.0,A
40368752,RAOULS,MANHATTAN,180       ,PRINCE STREET                                     ,10012,2129663518,French,7.0,A
40368763,THE BROOK,MANHATTAN,111,EAST   54 STREET,10022,2127537020,American ,9.0,A
40368801,MARBELLA RESTAURANT,QUEENS,22033,NORTHERN BOULEVARD,11361,7184230100,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",11.0,A
40368809,P.J.' S,QUEENS,18925,UNION TURNPIKE,11366,3472683989,American ,9.0,A
40368824,DOUBLES CLUB,MANHATTAN,783,5 AVENUE,10022,2127519595,American ,7.0,A
40368897,HATSUHANA RESTAURANT,MANHATTAN,17,EAST   48 STREET,10017,2123553345,Japanese,13.0,A
40368971,LA MANGEOIRE,MANHATTAN,1008      ,2 AVENUE                                          ,10022,2127597086,French,7.0,A
40369016,VIAND COFFEE SHOP,MANHATTAN,673       ,MADISON AVENUE                                    ,10065,2127516622,Greek,12.0,A
40369017,PALM TOO,MANHATTAN,840,2 AVENUE,10017,2126975198,American ,13.0,A
40369051,STEVE'S COFFEE SHOP,QUEENS,403416,2ND ST,11358,7184456691,Café/Coffee/Tea,10.0,A
40369087,BLUE BAY RESTAURANT,BRONX,3533      ,JOHNSON AVENUE                                    ,10463,7188846476,American ,10.0,A
40369097,NADA-SUSHI,MANHATTAN,135,EAST   50 STREET,10022,2128382537,Japanese,12.0,A
40369111,THE HYTES BAR,BROOKLYN,1082,ST JOHNS PLACE,11213,7187789564,American ,11.0,A
40369139,PERGOLA DES ARTISTES,MANHATTAN,252,WEST   46 STREET,10036,2123027500,French,9.0,A
40369158,JODY'S CLUB,STATEN ISLAND,372       ,FOREST AVENUE                                     ,10301,7187276338,American ,13.0,A
40369165,REIF'S TAVERN,MANHATTAN,302,EAST   92 STREET,10128,2124260519,American ,8.0,A
40369262,JOHN'S PIZZERIA,QUEENS,8502      ,GRAND AVENUE                                      ,11373,7184577561,Pizza,2.0,A
40369287,TWO STEPS DOWN,BROOKLYN,240,DE KALB AVENUE,11205,7183992020,American ,11.0,A
40369299,SEASHORE RESTAURANT,BRONX,591,CITY ISLAND AVE,10464,7188850300,Seafood,9.0,A
40369418,CAFFE REGGIO,MANHATTAN,119,MAC DOUGAL STREET,10012,2124759557,Café/Coffee/Tea,8.0,A
40369461,CAFE UN DEUX TROIS,MANHATTAN,123,WEST   44 STREET,10036,2123544148,French,7.0,A
40369482,ARMANDO'S PIZZA,BROOKLYN,1366      ,PENNSYLVANIA AVENUE                               ,11239,7186428253,Pizza,10.0,A
40369495,DAN TEMPURA,MANHATTAN,2018,BROADWAY,10023,2128775255,Japanese,12.0,A
40369521,KNICKERBOCKER BAR & GRILL,MANHATTAN,33        ,UNIVERSITY PLACE                                  ,10003,2122288490,American ,12.0,A
40369580,EL POTE ESPANOL,MANHATTAN,718       ,2 AVENUE                                          ,10016,2128896680,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",10.0,A
40369608,THE RIVER CAFE,BROOKLYN,1,WATER STREET,11201,7185225200,American ,13.0,A
40369619,MUDVILLE SALOON,MANHATTAN,126,CHAMBERS STREET,10007,2129640946,American ,11.0,A
40369641,JOHNNY'S REEF RESTAURANT,BRONX,2,CITY ISLAND AVE,10464,7188852086,Seafood,12.0,A
40369716,FERDINANDO'S RESTAURANT,BROOKLYN,151 ,UNION STREET,11231,7188551545,Italian,7.0,A
40369759,NECTAR COFFEE SHOP,MANHATTAN,1022      ,MADISON AVENUE                                    ,10075,2125354115,American ,8.0,A
40369810,PETE'S TAVERN,MANHATTAN,129,EAST   18 STREET,10003,2124737676,American ,12.0,A
40369849,GINO'S PIZZERIA,QUEENS,6132,SPRINGFIELD BOULEVARD,11364,7182251475,Pizza/Italian,7.0,A
40369869,JIM BRADY'S RESTAURANT,MANHATTAN,75,MAIDEN LANE,10038,2124251300,Irish,7.0,A
40369878,VILLA MOSCONI RESTAURANT,MANHATTAN,69        ,MACDOUGAL STREET                                  ,10012,2126730390,Italian,9.0,A
40369928,REME RESTAURANT,MANHATTAN,4021,BROADWAY,10032,2129235452,American ,8.0,A
40369940,THE NEW AMITY RESTAURANT,MANHATTAN,1134      ,MADISON AVENUE                                    ,10028,2128613255,American ,7.0,A
40369954,VOLARE RESTAURANT,MANHATTAN,147       ,WEST FOURTH STREET                                ,10012,2127772849,Italian,10.0,A
40369958,SPARKS STEAK HOUSE,MANHATTAN,210       ,EAST   46 STREET                                  ,10017,2126874855,Steak,12.0,A
40369983,THE DART INN,QUEENS,8318,PARSONS BOULEVARD,11432,7182911894,American ,5.0,A
40370015,BAMONTE'S RESTAURANT,BROOKLYN,32,WITHERS ST,11211,7183848831,Italian,13.0,A
40370167,BURGER KING,QUEENS,22210,NORTHERN BOULEVARD,11361,7182251695,Hamburgers,4.0,A
40370168,EAR INN,MANHATTAN,326,SPRING STREET,10013,2122269060,American ,9.0,A
40370342,GREENPOINT TAVERN,BROOKLYN,188       ,BEDFORD AVENUE                                    ,11249,7183849539,American ,12.0,A
40370425,TONY'S PIZZERIA,BROOKLYN,336,KNICKERBOCKER AVENUE,11237,7184567020,Pizza/Italian,10.0,A
40370436,ROSSINI'S,MANHATTAN,108,EAST   38 STREET,10016,2126830135,Italian,8.0,A
40370463,THREE GUY'S RESTAURANT,MANHATTAN,960,MADISON AVENUE,10021,2126288108,American ,7.0,A
40370497,CUCINA VIVOLO,MANHATTAN,138140    ,EAST   74 STREET                                                                                    ,10021,2127174700,Italian,7.0,A
40370519,DIVERS COVE,QUEENS,2901,FRANCIS LEWIS BOULEVARD,11358,7183529631,American ,12.0,A
40370638,TJK CAFE & RESTAURANT,QUEENS,24904,HORACE HARDING BOULEVARD,11362,7186311564,American ,12.0,A
